"Tokyo,""Tokyo"",""35.6839"",""139.7744"",""Japan"",""JP"",""JPN"",""Tōkyō"",""primary"",""39105000"",""1392685764"""
"Jakarta,""Jakarta"",""-6.2146"",""106.8451"",""Indonesia"",""ID"",""IDN"",""Jakarta"",""primary"",""35362000"",""1360771077"""
"Delhi,""Delhi"",""28.6667"",""77.2167"",""India"",""IN"",""IND"",""Delhi"",""admin"",""31870000"",""1356872604"""
"Manila,""Manila"",""14.6000"",""120.9833"",""Philippines"",""PH"",""PHL"",""Manila"",""primary"",""23971000"",""1608618140"""
"São Paulo,""Sao Paulo"",""-23.5504"",""-46.6339"",""Brazil"",""BR"",""BRA"",""São Paulo"",""admin"",""22495000"",""1076532519"""
"Rome,""Rome"",""41.8931"",""12.4828"",""Italy"",""IT"",""ITA"",""Lazio"",""primary"",""2872800"",""1380382862"""
"Mumbai,""Mumbai"",""19.0758"",""72.8775"",""India"",""IN"",""IND"",""Mahārāshtra"",""admin"",""22186000"",""1356226629"""
"Shanghai,""Shanghai"",""31.1667"",""121.4667"",""China"",""CN"",""CHN"",""Shanghai"",""admin"",""22118000"",""1156073548"""
"Mexico City,""Mexico City"",""19.4333"",""-99.1333"",""Mexico"",""MX"",""MEX"",""Ciudad de México"",""primary"",""21505000"",""1484247881"""
"Guangzhou,""Guangzhou"",""23.1288"",""113.2590"",""China"",""CN"",""CHN"",""Guangdong"",""admin"",""21489000"",""1156237133"""
"Cairo,""Cairo"",""30.0444"",""31.2358"",""Egypt"",""EG"",""EGY"",""Al Qāhirah"",""primary"",""19787000"",""1818253931"""
"Beijing,""Beijing"",""39.9040"",""116.4075"",""China"",""CN"",""CHN"",""Beijing"",""primary"",""19437000"",""1156228865"""
"New York,""New York"",""40.6943"",""-73.9249"",""United States"",""US"",""USA"",""New York"","""",""18713220"",""1840034016"""
"Moscow,""Moscow"",""55.7558"",""37.6178"",""Russia"",""RU"",""RUS"",""Moskva"",""primary"",""17693000"",""1643318494"""
"Bangkok,""Bangkok"",""13.7500"",""100.5167"",""Thailand"",""TH"",""THA"",""Krung Thep Maha Nakhon"",""primary"",""17573000"",""1764068610"""
"Milan,""Milan"",""45.4669"",""9.1900"",""Italy"",""IT"",""ITA"",""Lombardy"",""admin"",""1366180"",""1380724377"""
"Buenos Aires,""Buenos Aires"",""-34.5997"",""-58.3819"",""Argentina"",""AR"",""ARG"",""Buenos Aires Ciudad Autónoma de"",""primary"",""16216000"",""1032717330"""
"Ōsaka,""Osaka"",""34.7520"",""135.4582"",""Japan"",""JP"",""JPN"",""Ōsaka"",""admin"",""15490000"",""1392419823"""
"Zagreb,""Zagreb"",""45.8131"",""15.9772"",""Croatia"",""HR"",""HRV"",""Zagreb Grad"",""primary"",""790017"",""1191233290"""
"Čakovec,""Cakovec"",""46.3833"",""16.4333"",""Croatia"",""HR"",""HRV"",""Međimurska Županija"",""admin"",""30455"",""1191424625"""
